"Country","Region","Happiness Rank","Happiness_Score","Economy","Family","Health (Life Expectancy)","Freedom","Trust (Government Corruption)","Generosity","Dystopia Residual","Happiness"
"Afghanistan","","154","3.203","0.35","0.517","0.361","0","0.025","0.158","","0"
"Afghanistan","Southern Asia","154","3.36","0.38227","0.11037","0.17344","0.1643","0.07112","0.31268","2.14558","0"
"Afghanistan","Southern Asia","153","3.575","0.31982","0.30285","0.30335","0.23414","0.09719","0.3651","1.9521","0"
"Afghanistan","","145","3.632","0.332","0.537","0.255","0.085","0.036","0.191","","0"
"Afghanistan","","141","3.7939999103546","0.40147721767425","0.58154332637787","0.18074677884579","0.10617952048779","0.31187093257904","0.061157830059528","2.1508011817932","0"
"Albania","","112","4.586","0.916","0.817","0.79","0.419","0.032","0.149","","0"
"Albania","","109","4.6440000534058","0.99619275331497","0.8036852478981","0.73115974664688","0.38149863481522","0.20131294429302","0.039864215999842","1.4904415607452","0"
"Albania","Central and Eastern Europe","109","4.655","0.9553","0.50163","0.73007","0.31866","0.05301","0.1684","1.92816","0"
"Albania","","107","4.719","0.947","0.848","0.874","0.383","0.027","0.178","","0"
"Albania","Central and Eastern Europe","95","4.959","0.87867","0.80434","0.81325","0.35733","0.06413","0.14272","1.89894","0"
"Algeria","","88","5.211","1.002","1.16","0.785","0.086","0.114","0.073","","0"
"Algeria","","84","5.295","0.979","1.154","0.687","0.077","0.135","0.055","","1"
"Algeria","Middle East and Northern Africa","68","5.605","0.93929","1.07772","0.61766","0.28579","0.17383","0.07822","2.43209","0"
"Algeria","","53","5.8720002174377","1.0918644666672","1.1462174654007","0.61758464574814","0.2333358079195","0.069436646997929","0.14609611034393","2.5676038265228","1"
"Algeria","Middle East and Northern Africa","38","6.355","1.05266","0.83309","0.61804","0.21006","0.16157","0.07044","3.40904","1"
"Angola","","142","3.795","0.73","1.125","0.269","","0.061","0.079","","0"
"Angola","","140","3.795000076294","0.85842818021774","1.1044119596481","0.049868665635586","","0.097926490008831","0.069720335304737","1.6144824028015","0"
